# 本表聲旁及轄字無重覆
# 少量轄字的聲化字的附屬字()標示
# 特殊情況用[]標示
𦥑	⺽䳔閰𦥑
先	㧥㪇㭠㮱㰫㱡㾌䊁䚚䢾侁先兟冼姺宪毨洗(箲鍌𢝚𢱓)烍珗筅詵诜跣选酰銑铣駪𠒷𠜎𠸛𠸜𢏡𤞓𥏋𥏌𨴐𬳽
光	㘢㶢㹰㿠䯑侊光咣垙姯恍(𦞔)挄晄桄洸灮炗炛烡珖硄絖胱茪觥輄銧駫𢩊𣆥𤈛𤶏𥆄𦨻𧧯𧵦𨐈𨒺𨠵𪀯
晃	㨪䁜幌愰晃榥滉熀縨鎤
克	克剋勀勊娔尅氪𠳭𢭪
[兌]	㙂㟋䂱䫄䬈䬽侻(䓲)哾娧帨痥祱綐莌裞駾鮵𥆟
兌	兌悅挩敓梲涗稅(𠾔)脫(𢴎)蛻說(𡁾)銳閱
兑	䌼兑悦捝敚棁涚税脱蜕説说鋭锐閲阅
兊	㣞兊恱毤
免	㝃㡈㻊䅋䨲俛免冕(𨬋)勉(㛯葂𠷦𣈳)娩(嬎)悗挽晚梚浼睌絻脕莬輓鋔鞔鮸𣆶𩾃
兒	㪒䋩䍲䘽䮘倪兒唲堄婗掜晲棿淣猊睨腉蜺觬誽貎輗郳霓鯢鲵鶂鶃麑齯𡮅𡸣𨺙𫀗𫐐𫠜
儿	儿
児	児𥆩
兓	兓
鬵	灊鬵
兔	㭸䖘免兎兔堍婏梚菟鵵𤟛𫟏
㲋	㲋
兜	㨮兜篼蔸𦄓
㿡	㿡
兠	兠橷
兢	兢殑
入	㐈入叺圦扖杁鳰𣱿𥃱
[內]	㐻㕯(𦛚)㘨㶧䄲䟜䪏妠抐枘氝汭笍納(㨥䈫𠌦𠖘𠺶𢟕𣘆蒳𣻀𥧩𥻻𨃺𩄵)肭芮(㨅焫蜹𡍝𨧨)蚋衲訥(𠽆𤹽𦄠)豽軜鈉靹魶𢗉
內	內吶
内	内呐纳讷钠𡶀(𦀼𨁧)𤬲
全	㒰㓌㻇䀬佺全姾峑恮拴栓洤烇牷痊硂筌(𣛩)絟荃詮诠跧輇辁醛銓铨駩
兩	㒳㔝䓣䠃䩫倆兩啢掚緉脼蜽裲輛魎𦑅
两	两俩唡辆魉
両	両輌𠈓
八	䒔仈八叭扒(𤁙)朳汃玐趴釟𣼪𤴭𥐙𦘩
公	㒶㕬㝐䇗䚗䡆䯳䰸䲲伀公妐彸忪枀枩炂玜瓮蚣衳訟(𦄸)讼鈆頌颂𣌶𦰠
六	六
兮	㿽(諡)䒊䚷兮枍盻肸𠯋𡕵𢇱𤵕𥬋
共	㓋㤨㬴㭟㳟䀧䜤䢼䧆䱋䳍供(䣏𥯏)共哄垬娂恭(塨)拱拲晎栱洪(篊葓鍙霟𢝳𥈰𬮍)烘珙硔粠舼蕻蛬衖谼輁輂(檋)鉷閧髸鬨龔龚鿁𠧆𢩉𤞒𧋄𧶯𩐠𫟹
巷	㟟塂巷港𨃈
兵	㑟㙃兵娦捠梹浜鋲鬂𦛼
宾	㺍傧嫔宾摈槟殡滨瑸缤膑镔髌鬓
乒	乒
乓	乓
其	㐞㠱㥍㫷䃆䑴䫏䳢䶞倛其剘唭基(䥓樭璂禥簊𠼻𦸀)娸帺惎掑旗(簱籏)朞期棊(㯦)棋(簯)欺(㠌僛𠿁𡮪)淇猉琪碁祺稘箕(檱𡒬𥶂𦪵)粸綦(櫀濝藄𤪌)綨萁蜝蜞褀諅諆踑錤騏骐魌鯕麒𣈒𤊄𤻓𦓿𧯯𨡨𫓹
具	㖵㮂䋰䡞俱具埧惧椇犋颶飓𢮭𦩛𨍄
典	㙉㥏䐌䓦䠄倎典唺婰捵敟晪椣淟猠琠痶睓碘腆覥觍賟錪𦥃𧌎
[茲]	㽧䈘嗞嵫慈(㘂䗹嬨濨礠)滋甆禌稵糍螆鎡鰦鶿鷀𩝐
茲	孶玆茲𥔵茊
兹	兹孳磁镃鹚
兼	㝺㡘㪠㺌㻩㼓㽐㾾䁠䈴䫡䭑䯡傔兼嗛嫌(𥽎)尲嵰慊搛槏歉溓熑甉磏稴縑缣膁蒹螊謙(𡄫)谦豏賺赚鎌隒馦鬑魐鰜鳒鶼鹣鹻鼸𠁟𡗄𢐎𥡝𥻧𨃰𪙊
冀	䆊兾冀懻驥骥𥜥
冂	冂
冃	㧇冃
冉	㘱(㴂)㫋㾆䎃䏥䤡䫇䶲冉呥姌抩柟珃畘聃(䔜𢳞)舑苒蚺袡髯𣲹𤝫
冄	㚩䑙䒣䛁冄枏耼蚦衻髥𡖔
[冊]	笧粣
冊	冊柵
册	册栅
